Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
-183,000; -290,000; -378,000; -263,000; -250,000; -245,000; -259,000; -187,000; -127,000; -396,000; -156,000; -191,000;4722,47359
-419,000; -198,000; -382,000; -375,000; -118,000; -322,000; -318,000; -311,000; -230,000; -317,000; -152,000; -191,000;5576,4974
-183,000; -66,000; -378,000; -263,000; -250,000; -245,000; -259,000; -187,000; -127,000; -396,000; -156,000; -183,000;5612,09524
-36,000; -78,000; -61,000; -136,000; -24,000; 199,000; 45,000; 141,000; -86,000; 28,000; 130,000; 57,000;5923,73766
-56,000; -40,000; 164,000; -143,000; 19,000; 58,000; -17,000; -85,000; -55,000; 64,000; -192,000; -179,000;6119,89459
-6,000; -104,000; -252,000; -276,000; 15,000; -314,000; -149,000; -187,000; -230,000; -302,000; -158,000; -172,000;6326,21356
-152,000; -46,000; -123,000; -251,000; -142,000; 43,000; -351,000; -125,000; -244,000; -247,000; -146,000; -179,000;6395,10592
-24,000; -478,000; -286,000; -232,000; -130,000; 18,000; -94,000; -127,000; -175,000; -187,000; -154,000; -184,000;6445,34646
-55,000; 200,000; 262,000; 137,000; 101,000; 131,000; 198,000; 121,000; 297,000; 193,000; -92,000; 202,000;6493,22727
-24,000; -478,000; -286,000; -232,000; -130,000; 18,000; -94,000; -127,000; -175,000; -187,000; -154,000; -120,000;6494,89423
-36,000; 154,000; 174,000; 233,000; -52,000; -17,000; -121,000; -160,000; -225,000; -173,000; -178,000; -179,000;6552,97143
-419,000; -198,000; -382,000; -375,000; -118,000; -322,000; -306,000; -439,000; -230,000; -317,000; -152,000; -183,000;6573,90115
-34,000; 56,000; 228,000; -71,000; -154,000; -121,000; -169,000; -189,000; -229,000; 25,000; -182,000; -187,000;6660,43088
-290,000; -78,000; -346,000; -279,000; -281,000; 31,000; -243,000; -155,000; -242,000; -61,000; -168,000; -180,000;6727,90635
-19,000; -70,000; -214,000; -435,000; -290,000; -370,000; -321,000; -309,000; -377,000; -480,000; -512,000; -340,000;6736,63745
-36,000; -90,000; -342,000; -339,000; -42,000; -326,000; -257,000; -263,000; -215,000; -294,000; -286,000; -20,000;6838,83449
-54,000; 329,000; 302,000; 56,000; 78,000; 38,000; 199,000; 203,000; 335,000; 323,000; 320,000; 349,000;6856,59495
-56,000; -40,000; 164,000; -143,000; 19,000; 58,000; -17,000; -69,000; -70,000; -320,000; -182,000; -243,000;6868,90476
-34,000; 56,000; 228,000; -71,000; -154,000; -117,000; -211,000; -181,000; 19,000; 20,000; -160,000; -178,000;6891,62309
-56,000; -40,000; 164,000; -143,000; 19,000; 58,000; -17,000; -69,000; -70,000; -320,000; -182,000; -251,000;6901,2228
