Generation;Fitness
[1]; 10299,7757
[2]; 10132,94596
[3]; 8382,76943
[4]; 6882,10866
[5]; 6274,89992
[6]; 5696,59353
[7]; 4045,76807
[8]; 4045,76807
[9]; 3807,97944
[10]; 3069,89422
[11]; 2968,67009
[12]; 2905,74225
[13]; 2296,82607
[14]; 2296,82607
[15]; 1959,25964
[16]; 1959,25964
[17]; 1949,5647
[18]; 1879,95246
[19]; 1874,22395
[20]; 1220,53391
[21]; 1172,0904
[22]; 942,48352
[23]; 772,99511
[24]; 538,1775
[25]; 502,13056
[26]; 477,64028
[27]; 477,64028
[28]; 452,78383
[29]; 420,71848
[30]; 411,67629
[31]; 398,97537
[32]; 384,61987
[33]; 377,91837
[34]; 365,1665
[35]; 333,29627
[36]; 323,95273
[37]; 321,99011
[38]; 318,26206
[39]; 311,57742
[40]; 301,55019
[41]; 294,23096
[42]; 293,21015
[43]; 282,37713
[44]; 239,32917
[45]; 235,20429
[46]; 220,53782
[47]; 217,39538
[48]; 210,59023
[49]; 209,24676
[50]; 205,7014
[51]; 202,38859
