Generation;Fitness
[1]; 36,12317
[2]; 12,47229
[3]; 7,50769
[4]; 4,91613
[5]; 2,57543
[6]; 1,5815
[7]; 0,85256
[8]; 0,39313
[9]; 0,22006
[10]; 0,1429
[11]; 0,1139
[12]; 0,10094
[13]; 0,09638
[14]; 0,08964
[15]; 0,08203
[16]; 0,06774
[17]; 0,08284
[18]; 0,063
[19]; 0,06593
[20]; 0,0572
[21]; 0,06677
[22]; 0,07106
[23]; 0,07628
[24]; 0,07986
[25]; 0,06572
[26]; 0,07146
[27]; 0,06371
[28]; 0,06034
[29]; 0,04728
[30]; 0,04888
[31]; 0,0579
[32]; 0,05074
[33]; 0,04841
[34]; 0,06674
[35]; 0,06362
[36]; 0,05827
[37]; 0,04822
[38]; 0,05227
[39]; 0,05322
[40]; 0,0476
[41]; 0,05754
[42]; 0,05201
[43]; 0,04399
[44]; 0,0485
[45]; 0,05733
[46]; 0,04365
[47]; 0,05635
[48]; 0,06506
[49]; 0,0662
[50]; 0,06791
[51]; 0,05065
