Gen1;Gen2;Gen3;Wert
1,548; 1,548; 1,548;0
1,513; 1,513; 1,513;0
1,513; 1,513; 1,513;0
1,510; 1,510; 1,510;0
1,509; 1,509; 1,509;0
1,552; 1,552; 1,552;0
1,512; 1,512; 1,512;0
1,512; 1,512; 1,512;0
1,552; 1,552; 1,552;0
1,511; 1,511; 1,511;0
1,551; 1,551; 1,551;0
1,510; 1,510; 1,510;0
1,551; 1,551; 1,551;0
1,550; 1,550; 1,550;0
1,504; 1,504; 1,504;0,00183
1,513; 1,513; 1,512;0,00183
1,509; 1,509; 1,509;0,00183
1,513; 1,513; 1,513;0,00183
1,513; 1,513; 1,513;0,00183
1,513; 1,512; 1,512;0,00183
