Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 127,000; 126,000; 127,000; 128,000; 127,000;100,00671
132,000; 128,000; 126,000; 124,000; 125,000; 124,000; 128,000; 127,000; 127,000; 127,000; 128,000; 127,000;101,80671
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 127,000; 126,000; 127,000; 128,000; 126,000;102,53059
132,000; 128,000; 126,000; 124,000; 124,000; 124,000; 128,000; 127,000; 127,000; 127,000; 128,000; 127,000;103,15909
132,000; 128,000; 124,000; 125,000; 125,000; 124,000; 128,000; 127,000; 127,000; 127,000; 128,000; 127,000;103,35354
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 126,000; 126,000; 128,000; 126,000;104,38853
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 126,000; 126,000; 128,000; 127,000;104,86465
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 126,000; 127,000; 128,000; 127,000;105,24481
132,000; 128,000; 126,000; 124,000; 125,000; 124,000; 128,000; 127,000; 127,000; 127,000; 128,000; 126,000;105,66392
132,000; 128,000; 124,000; 124,000; 124,000; 124,000; 128,000; 127,000; 127,000; 127,000; 128,000; 127,000;105,8083
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 125,000; 126,000; 128,000; 126,000;106,35758
132,000; 128,000; 124,000; 124,000; 125,000; 124,000; 128,000; 127,000; 127,000; 127,000; 128,000; 127,000;106,45592
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 125,000; 125,000; 128,000; 126,000;106,54885
132,000; 128,000; 124,000; 125,000; 124,000; 124,000; 128,000; 127,000; 127,000; 127,000; 128,000; 127,000;106,70592
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 126,000; 127,000; 128,000; 126,000;106,76869
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 127,000; 127,000; 128,000; 126,000;106,79964
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 125,000; 125,000; 128,000; 127,000;107,02496
132,000; 128,000; 124,000; 125,000; 125,000; 124,000; 128,000; 127,000; 127,000; 127,000; 128,000; 126,000;107,21075
132,000; 128,000; 126,000; 125,000; 125,000; 124,000; 128,000; 125,000; 125,000; 127,000; 128,000; 127,000;107,21385
132,000; 128,000; 126,000; 125,000; 124,000; 124,000; 128,000; 127,000; 126,000; 127,000; 128,000; 126,000;107,88297
