Gen1;Gen2;Gen3;Wert
8,338; 8,338; 8,338;0
8,358; 8,358; 8,358;0
8,319; 8,319; 8,319;0
8,299; 8,299; 8,299;0
8,162; 8,162; 8,162;0
8,143; 8,143; 8,143;0
8,299; 8,299; 8,280;0,05865
8,358; 8,338; 8,338;0,05865
8,299; 8,280; 8,280;0,05865
8,319; 8,338; 8,338;0,05865
8,456; 8,436; 8,436;0,05865
8,338; 8,338; 8,358;0,05865
8,201; 8,221; 8,221;0,05865
8,358; 8,358; 8,338;0,05865
8,299; 8,299; 8,319;0,05865
8,338; 8,358; 8,358;0,05865
8,338; 8,338; 8,319;0,05865
8,162; 8,182; 8,182;0,05865
8,319; 8,319; 8,299;0,05865
8,338; 8,319; 8,319;0,05865
