Gen1;Gen2;Gen3;Wert
2,317; 2,317; 2,317;0
8,299; 8,299; 8,299;0
8,319; 8,319; 8,319;0
5,660; 5,660; 5,660;0
5,640; 5,640; 5,640;0
8,240; 8,240; 8,240;0
8,221; 8,221; 8,221;0
8,358; 8,358; 8,358;0
8,377; 8,377; 8,377;0
5,738; 5,738; 5,738;0
8,338; 8,338; 8,338;0
8,299; 8,319; 8,319;0,05865
8,319; 8,319; 8,338;0,05865
8,299; 8,280; 8,280;0,05865
8,319; 8,299; 8,299;0,05865
8,319; 8,338; 8,338;0,05865
8,319; 8,319; 8,299;0,05865
2,297; 2,317; 2,317;0,05865
8,299; 8,299; 8,319;0,05865
2,336; 2,317; 2,317;0,05865
