Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,924; 62,550; 62,924;72,71017
64,111; 60,021; 62,456; 63,018; 60,957; 64,173; 62,269; 63,549; 63,611; 62,425; 62,237; 62,643;72,75133
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 63,174; 62,487; 62,799;73,05008
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,924; 62,487; 62,924;73,06454
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,924; 62,487; 62,799;73,08002
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,924; 62,487; 62,675;73,09549
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,862; 62,487; 62,675;73,10297
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,862; 62,487; 62,924;73,19691
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,924; 62,487; 63,268;73,70885
64,423; 60,083; 60,552; 63,018; 61,769; 64,173; 63,268; 63,549; 63,736; 63,361; 62,487; 61,832;73,72051
63,861; 60,021; 60,520; 60,520; 61,769; 64,173; 62,269; 63,549; 63,705; 62,362; 62,237; 61,894;74,32168
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,425; 62,487; 62,924;74,37323
64,360; 60,021; 60,458; 60,520; 61,769; 64,173; 63,268; 63,549; 63,705; 62,425; 62,487; 63,080;74,67139
64,360; 60,021; 60,458; 60,520; 61,769; 64,173; 63,268; 63,549; 63,736; 62,425; 62,300; 62,581;74,77453
64,360; 60,021; 60,458; 60,520; 61,769; 64,173; 63,268; 63,518; 63,736; 62,425; 62,487; 63,080;74,81152
64,360; 60,021; 60,489; 60,520; 61,769; 64,173; 62,269; 63,549; 63,611; 62,425; 62,487; 62,831;75,45168
64,360; 62,269; 60,489; 60,520; 61,769; 64,173; 62,269; 63,611; 63,705; 62,862; 62,987; 61,145;75,49013
64,360; 62,269; 60,489; 60,520; 61,769; 64,173; 62,269; 63,674; 63,705; 62,862; 62,487; 61,145;75,50163
64,236; 60,083; 60,489; 63,018; 61,769; 64,173; 62,269; 63,549; 63,705; 62,425; 62,487; 61,894;75,62149
64,236; 60,083; 60,489; 60,645; 61,769; 64,173; 62,269; 63,549; 63,705; 62,300; 62,237; 62,893;75,71468
