Gen1;Gen2;Gen3;Wert
-1,137; -1,137; -1,137;0
-1,137; -1,137; -1,137;0
-1,137; -1,137; -1,138;0,00183
-1,137; -1,137; -1,137;0,00183
-1,137; -1,137; -1,137;0,00183
-1,137; -1,137; -1,136;0,00183
-1,137; -1,137; -1,137;0,00183
-1,137; -1,137; -1,137;0,00183
-1,137; -1,137; -1,137;0,00244
-1,137; -1,137; -1,137;0,00244
-1,137; -1,137; -1,136;0,00366
-1,137; -1,137; -1,138;0,00366
-1,137; -1,137; -1,138;0,00366
-1,137; -1,137; -1,136;0,00366
-1,137; -1,137; -1,139;0,00366
-1,137; -1,136; -1,136;0,00366
-1,137; -1,137; -1,136;0,00366
-1,137; -1,137; -1,138;0,00427
-1,137; -1,137; -1,136;0,00549
-1,137; -1,137; -1,139;0,00549
