Generation;Fitness
[1]; 9702,07507
[2]; 9701,48732
[3]; 7398,72062
[4]; 5448,64161
[5]; 4517,8021
[6]; 3922,57627
[7]; 2899,01655
[8]; 2487,99874
[9]; 1877,61382
[10]; 1623,12978
[11]; 1058,23659
[12]; 1058,23659
[13]; 1052,89832
[14]; 895,2282
[15]; 790,83751
[16]; 705,50427
[17]; 677,00043
[18]; 664,93235
[19]; 650,18134
[20]; 632,76604
[21]; 627,42606
[22]; 624,84128
[23]; 621,34948
[24]; 618,05681
[25]; 614,77574
[26]; 613,01409
[27]; 612,02876
[28]; 610,31978
[29]; 609,82188
[30]; 609,13885
[31]; 608,71802
[32]; 608,71802
[33]; 608,71802
[34]; 608,71802
[35]; 608,71802
[36]; 608,71802
[37]; 608,71802
[38]; 608,71802
[39]; 608,71802
[40]; 608,71802
[41]; 608,71802
[42]; 608,71802
[43]; 608,71802
[44]; 608,71802
[45]; 608,71802
[46]; 608,71802
[47]; 608,71802
[48]; 608,71802
[49]; 608,71802
[50]; 608,71802
[51]; 608,71802
