Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
0,327; 0,483; 0,952; 0,515; 0,390; -0,016; 1,108; 1,670; -0,578; -0,578; 0,546; 0,452;37,2167
0,327; 0,483; 0,952; 1,389; 0,390; -0,016; 1,233; 1,732; -0,578; -0,547; -0,203; 0,202;42,47519
1,326; 0,483; 0,952; 1,389; 0,390; -0,016; 1,108; 1,670; -0,578; -0,578; 0,546; 0,390;43,3764
0,327; 0,483; 0,952; 1,389; 0,390; 0,046; 1,108; 1,639; -0,578; -0,890; 0,546; 0,078;44,39122
0,327; 0,483; 0,952; 1,389; 2,388; 1,045; 1,108; 1,670; -0,578; -0,578; -0,203; 0,202;46,92011
0,327; 0,483; 0,952; 1,389; 2,388; 1,045; 1,108; 1,670; -0,578; -0,578; -0,203; 0,327;47,08166
0,327; 0,483; 0,952; 1,389; 2,388; 1,045; 1,108; 1,670; -0,578; -0,547; -0,453; 0,452;47,60723
0,327; 0,483; 0,952; -1,483; 0,390; -0,016; 0,109; 1,670; -0,578; -0,547; -0,203; 0,452;48,35662
0,327; 0,483; 0,952; 1,389; 2,388; 1,045; 1,108; 1,670; -0,578; -0,828; -0,203; 0,202;49,08255
0,327; 0,483; 0,952; -1,452; 0,390; -0,016; 0,733; 1,732; -0,578; -0,547; -0,203; 0,202;49,46775
0,327; 0,483; 0,952; -0,984; 0,390; -0,016; 1,108; 1,670; -0,828; -0,547; 0,640; 0,327;49,88109
0,327; 0,483; 0,952; 1,389; 1,951; 0,046; 1,108; 1,639; -0,578; -0,890; 0,546; 0,202;50,28543
0,327; 0,483; 0,952; -1,483; 0,390; -0,016; 1,108; 1,670; -0,578; -0,547; -0,203; -0,047;50,40381
0,327; 0,483; 0,952; 1,389; 2,388; 1,045; 1,108; 1,670; -0,828; -0,547; 1,045; 0,078;51,02152
0,327; 0,483; 0,952; 1,389; 2,388; 0,046; 1,108; 1,639; -0,578; -0,547; -0,203; 0,202;51,0284
0,327; 0,483; 0,952; 1,389; 2,388; 0,046; 1,108; 1,670; -0,578; -0,547; 0,546; 0,452;51,31107
0,327; 0,483; 0,952; -1,483; 0,390; -0,016; 1,108; 1,670; -0,578; -0,547; -0,453; 0,202;51,3188
0,327; 0,421; 0,952; -1,483; 0,390; -0,016; 1,108; 1,670; -0,516; -0,578; 0,546; 0,452;51,51943
0,327; 0,483; 0,952; 1,389; 2,388; 0,046; 1,108; 1,639; -0,578; -0,547; 0,546; 0,202;51,52475
0,327; 0,483; 0,952; -1,483; -0,110; -0,016; 1,108; 1,670; -0,516; -0,547; 0,546; 0,327;51,54313
