Gen1;Gen2;Gen3;Wert
5,386; 5,386; 5,386;0
5,699; 5,699; 5,699;0
5,660; 5,660; 5,660;0
5,679; 5,679; 5,679;0
5,640; 5,640; 5,640;0
5,191; 5,191; 5,191;0
7,849; 7,849; 7,849;0
7,693; 7,693; 7,693;0
-8,456; -8,456; -8,456;0
-7,204; -7,204; -7,204;0
-1,828; -1,828; -1,828;0
-8,886; -8,886; -8,886;0
1,320; 1,320; 1,320;0
1,398; 1,398; 1,398;0
-4,565; -4,565; -4,565;0
0,381; 0,381; 0,381;0
-5,601; -5,601; -5,601;0
-7,028; -7,028; -7,028;0
-6,989; -6,989; -6,989;0
0,772; 0,772; 0,772;0
