Generation;Fitness
[1]; 9702,07507
[2]; 8148,27537
[3]; 4935,88382
[4]; 4935,88382
[5]; 3820,63876
[6]; 3106,28971
[7]; 2980,33344
[8]; 2703,69379
[9]; 2211,42158
[10]; 1662,54065
[11]; 1005,18342
[12]; 999,31752
[13]; 862,48406
[14]; 730,6078
[15]; 684,92044
[16]; 604,29239
[17]; 585,33474
[18]; 569,12522
[19]; 557,82815
[20]; 557,65916
[21]; 553,30258
[22]; 550,9411
[23]; 526,90937
[24]; 521,9224
[25]; 515,45917
[26]; 512,9871
[27]; 511,56685
[28]; 510,18334
[29]; 506,23923
[30]; 506,23923
[31]; 503,54113
[32]; 491,16264
[33]; 473,90787
[34]; 471,8717
[35]; 399,80057
[36]; 394,82283
[37]; 359,17963
[38]; 359,17963
[39]; 353,70013
[40]; 345,8594
[41]; 341,52287
[42]; 331,68818
[43]; 326,80681
[44]; 323,34347
[45]; 321,65128
[46]; 320,39562
[47]; 316,72449
[48]; 315,42424
[49]; 312,6377
[50]; 293,34063
[51]; 290,45013
