Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
255,000; 274,000; 274,000; 274,000; 276,000; 276,000; 275,000; 274,000; 274,000; 255,000; 255,000; 255,000;363,46349
255,000; 274,000; 274,000; 274,000; 276,000; 276,000; 275,000; 272,000; 271,000; 255,000; 255,000; 255,000;368,16587
255,000; 276,000; 276,000; 276,000; 276,000; 276,000; 275,000; 274,000; 274,000; 255,000; 255,000; 255,000;368,23333
255,000; 276,000; 276,000; 276,000; 276,000; 276,000; 275,000; 276,000; 275,000; 255,000; 255,000; 255,000;370,06905
255,000; 276,000; 276,000; 276,000; 276,000; 276,000; 275,000; 274,000; 275,000; 255,000; 255,000; 255,000;370,96429
255,000; 276,000; 276,000; 276,000; 276,000; 276,000; 275,000; 276,000; 274,000; 255,000; 255,000; 255,000;371,3381
255,000; 274,000; 274,000; 274,000; 276,000; 276,000; 275,000; 276,000; 274,000; 255,000; 255,000; 255,000;371,50159
255,000; 274,000; 275,000; 276,000; 276,000; 276,000; 275,000; 274,000; 275,000; 255,000; 255,000; 255,000;371,9619
255,000; 274,000; 274,000; 274,000; 276,000; 276,000; 275,000; 276,000; 275,000; 255,000; 255,000; 255,000;372,27063
255,000; 274,000; 274,000; 274,000; 276,000; 276,000; 275,000; 272,000; 274,000; 255,000; 255,000; 255,000;372,35873
255,000; 274,000; 275,000; 276,000; 276,000; 276,000; 275,000; 276,000; 275,000; 255,000; 255,000; 255,000;373,2
255,000; 274,000; 274,000; 274,000; 276,000; 276,000; 275,000; 272,000; 267,000; 255,000; 255,000; 255,000;373,24206
255,000; 276,000; 275,000; 276,000; 276,000; 276,000; 275,000; 276,000; 275,000; 255,000; 255,000; 255,000;373,54444
255,000; 274,000; 276,000; 276,000; 276,000; 276,000; 275,000; 276,000; 275,000; 255,000; 255,000; 255,000;373,7246
255,000; 274,000; 275,000; 276,000; 276,000; 276,000; 275,000; 276,000; 274,000; 255,000; 255,000; 255,000;373,89762
255,000; 274,000; 274,000; 274,000; 276,000; 276,000; 275,000; 272,000; 271,000; 255,000; 255,000; 254,000;374,20563
255,000; 274,000; 274,000; 276,000; 276,000; 276,000; 275,000; 276,000; 275,000; 255,000; 255,000; 255,000;374,34206
255,000; 274,000; 274,000; 276,000; 276,000; 276,000; 275,000; 276,000; 274,000; 255,000; 255,000; 255,000;374,37302
255,000; 274,000; 276,000; 276,000; 276,000; 276,000; 275,000; 276,000; 274,000; 255,000; 255,000; 255,000;374,42222
255,000; 276,000; 275,000; 276,000; 276,000; 276,000; 275,000; 276,000; 274,000; 255,000; 255,000; 255,000;374,81349
