Generation;Fitness
[1]; 17453,43268
[2]; 12583,15497
[3]; 9475,63175
[4]; 7370,9625
[5]; 6106,53203
[6]; 4787,17506
[7]; 3703,62206
[8]; 2761,03633
[9]; 2245,88937
[10]; 2088,00532
[11]; 1984,10696
[12]; 1893,91182
[13]; 1791,08449
[14]; 1719,08111
[15]; 1677,02782
[16]; 1646,39027
[17]; 1630,40615
[18]; 1621,67743
[19]; 1616,56594
[20]; 1610,66145
[21]; 1604,59039
[22]; 1603,9565
[23]; 1603,95332
[24]; 1603,95332
[25]; 1603,95332
[26]; 1603,95332
[27]; 1603,95332
[28]; 1603,95332
[29]; 1603,95332
[30]; 1603,95332
[31]; 1603,95332
[32]; 1603,95332
[33]; 1603,95332
[34]; 1603,95332
[35]; 1603,95332
[36]; 1603,95332
[37]; 1603,95332
[38]; 1603,95332
[39]; 1603,95332
[40]; 1603,95332
[41]; 1603,95332
[42]; 1603,95332
[43]; 1603,95332
[44]; 1603,95332
[45]; 1603,95332
[46]; 1603,95332
[47]; 1603,95332
[48]; 1603,95332
[49]; 1603,95332
[50]; 1603,95332
[51]; 1603,95332
