Gen1;Gen2;Gen3;Wert
-1,457; -1,455; -1,461;0,02014
-1,457; -1,455; -1,462;0,0238
-1,457; -1,465; -1,461;0,02747
4,210; 4,211; 4,219;0,02747
4,210; 4,212; 4,219;0,02747
4,210; 4,211; 4,219;0,02747
4,210; 4,219; 4,219;0,02747
4,210; 4,210; 4,219;0,02747
4,210; 4,213; 4,219;0,02747
4,210; 4,212; 4,219;0,02747
4,210; 4,214; 4,219;0,02747
4,210; 4,211; 4,220;0,0293
4,210; 4,212; 4,220;0,0293
4,210; 4,220; 4,220;0,0293
4,210; 4,210; 4,220;0,0293
4,210; 4,219; 4,220;0,0293
4,210; 4,213; 4,220;0,0293
4,210; 4,212; 4,220;0,0293
4,210; 4,211; 4,220;0,0293
4,210; 4,209; 4,219;0,02991
