Gen1;Gen2;Gen3;Wert
4,197; 4,197; 4,197;0
4,190; 4,190; 4,190;0
4,192; 4,192; 4,192;0
-2,835; -2,835; -2,835;0
4,195; 4,195; 4,195;0
3,861; 3,861; 3,861;0
4,196; 4,196; 4,196;0
4,190; 4,190; 4,190;0
4,191; 4,191; 4,191;0
4,198; 4,198; 4,198;0
4,197; 4,197; 4,197;0
4,195; 4,195; 4,195;0
4,195; 4,195; 4,194;0,00183
4,190; 4,190; 4,189;0,00183
4,195; 4,195; 4,195;0,00183
4,192; 4,191; 4,191;0,00183
4,195; 4,195; 4,195;0,00183
4,190; 4,191; 4,191;0,00183
4,190; 4,190; 4,190;0,00183
4,190; 4,190; 4,190;0,00183
