Gen1;Gen2;Gen3;Wert
-2,529; -2,539; -2,539;0,03113
-2,528; -2,539; -2,539;0,03296
-2,528; -2,539; -2,539;0,03479
-2,529; -2,540; -2,541;0,03479
-2,529; -2,539; -2,541;0,03479
-2,528; -2,539; -2,541;0,03662
-2,528; -2,539; -2,541;0,03845
-2,529; -2,542; -2,541;0,03967
-2,528; -2,542; -2,542;0,04028
-2,528; -2,539; -2,542;0,04028
-2,529; -2,542; -2,542;0,04089
-2,528; -2,542; -2,541;0,04151
-2,529; -2,542; -2,541;0,04212
-2,528; -2,542; -2,539;0,04273
-2,528; -2,542; -2,542;0,04273
-2,528; -2,542; -2,541;0,04334
-2,528; -2,542; -2,543;0,04395
-2,528; -2,542; -2,541;0,04395
-2,528; -2,542; -2,543;0,04395
-2,528; -2,539; -2,543;0,04395
