Gen1;Gen2;Gen3;Wert
8,126; 8,125; 8,125;0,00183
8,126; 8,125; 8,125;0,00366
8,126; 8,125; 8,124;0,00366
8,126; 8,124; 8,124;0,00366
8,126; 8,124; 8,125;0,00427
8,126; 8,125; 8,124;0,00549
8,127; 8,125; 8,125;0,00549
8,126; 8,124; 8,124;0,00549
8,126; 8,124; 8,124;0,00549
8,126; 8,124; 8,124;0,00549
8,126; 8,125; 8,124;0,00549
8,126; 8,124; 8,125;0,0061
8,126; 8,124; 8,124;0,0061
8,126; 8,124; 8,125;0,00671
8,126; 8,124; 8,124;0,00732
8,126; 8,125; 8,124;0,00732
8,127; 8,125; 8,124;0,00732
8,127; 8,125; 8,125;0,00732
8,126; 8,124; 8,123;0,00732
8,126; 8,124; 8,123;0,00732
