Generation;Fitness
[1]; 33,08264
[2]; 10,01359
[3]; 4,95409
[4]; 2,70033
[5]; 1,72868
[6]; 1,14142
[7]; 0,78493
[8]; 0,539
[9]; 0,34762
[10]; 0,22056
[11]; 0,15035
[12]; 0,0833
[13]; 0,03378
[14]; 0,01872
[15]; 0,01254
[16]; 0,0074
[17]; 0,00632
[18]; 0,00483
[19]; 0,00378
[20]; 0,0033
[21]; 0,00351
[22]; 0,00349
[23]; 0,00277
[24]; 0,00303
[25]; 0,00306
[26]; 0,00296
[27]; 0,003
[28]; 0,00265
[29]; 0,00253
[30]; 0,00283
[31]; 0,0027
[32]; 0,00279
[33]; 0,00262
[34]; 0,0026
[35]; 0,00271
[36]; 0,0029
[37]; 0,0026
[38]; 0,00323
[39]; 0,00302
[40]; 0,00267
[41]; 0,0025
[42]; 0,00318
[43]; 0,00259
[44]; 0,00274
[45]; 0,00276
[46]; 0,00279
[47]; 0,00311
[48]; 0,0029
[49]; 0,00328
[50]; 0,00277
[51]; 0,00339
