Generation;Fitness
[1]; 7,26585
[2]; 0,74709
[3]; 0,39552
[4]; 0,39552
[5]; 0,39186
[6]; 0,36622
[7]; 0,08789
[8]; 0,02564
[9]; 0,01465
[10]; 0,01343
[11]; 0,01099
[12]; 0,01099
[13]; 0,00916
[14]; 0,00732
[15]; 0,0061
[16]; 0,00366
[17]; 0,00183
[18]; 0,00183
[19]; 0,00183
[20]; 0,00183
[21]; 0,00183
[22]; 0,00183
[23]; 0,00183
[24]; 0,00183
[25]; 0,00183
[26]; 0,00183
[27]; 0,00183
[28]; 0,00183
[29]; 0,00183
[30]; 0,00183
[31]; 0,00183
[32]; 0,00183
[33]; 0,00183
[34]; 0,00183
[35]; 0,00183
[36]; 0,00183
[37]; 0,00183
[38]; 0,00183
[39]; 0,00183
[40]; 0,00183
[41]; 0,00183
[42]; 0,00183
[43]; 0,00183
[44]; 0,00183
[45]; 0,00183
[46]; 0,00183
[47]; 0,00183
[48]; 0,00183
[49]; 0,00183
[50]; 0,00183
