Generation;Fitness
[1]; 9702,07507
[2]; 9644,66392
[3]; 7480,39429
[4]; 6329,22967
[5]; 4679,99172
[6]; 3780,40059
[7]; 3416,37463
[8]; 2685,61283
[9]; 2424,66998
[10]; 1955,84875
[11]; 1519,2833
[12]; 1329,70734
[13]; 998,55298
[14]; 932,89941
[15]; 846,33914
[16]; 789,42698
[17]; 599,49677
[18]; 550,32518
[19]; 475,68013
[20]; 424,48452
[21]; 372,2813
[22]; 340,40787
[23]; 326,12659
[24]; 283,40043
[25]; 236,51432
[26]; 235,89054
[27]; 232,98395
[28]; 200,14124
[29]; 200,14124
[30]; 191,42137
[31]; 181,01516
[32]; 174,68664
[33]; 171,84356
[34]; 167,15109
[35]; 155,70581
[36]; 150,30805
[37]; 137,31534
[38]; 133,54254
[39]; 122,46788
[40]; 118,01055
[41]; 100,04888
[42]; 100,04888
[43]; 98,94463
[44]; 93,53988
[45]; 86,11044
[46]; 84,83835
[47]; 77,15858
[48]; 73,09549
[49]; 73,08002
[50]; 73,06454
