Gen1;Gen2;Gen3;Wert
-1,691; -1,691; -1,691;0
-1,711; -1,711; -1,711;0
-1,672; -1,672; -1,672;0
-2,942; -2,942; -2,942;0
-3,275; -3,275; -3,275;0
-3,314; -3,314; -3,314;0
-8,319; -8,319; -8,319;0
-1,652; -1,652; -1,652;0
-7,928; -7,928; -7,928;0
-3,216; -3,216; -3,216;0
-6,461; -6,461; -6,461;0
6,579; 6,579; 6,579;0
-6,637; -6,637; -6,637;0
3,451; 3,451; 3,451;0
3,372; 3,372; 3,372;0
-6,618; -6,618; -6,618;0
3,255; 3,255; 3,255;0
-3,529; -3,529; -3,529;0
-2,864; -2,864; -2,864;0
-4,115; -4,115; -4,115;0
