Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -48,000; -44,000; -48,000; -48,000;767,68521
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -48,000; -44,000; -47,000; -47,000;769,97482
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -47,000; -47,000; -44,000; -47,000; -47,000;770,45339
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -47,000; -44,000; -47,000; -47,000;770,67244
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -48,000; -44,000; -47,000; -48,000;770,6987
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -48,000; -44,000; -48,000; -47,000;770,96133
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -47,000; -44,000; -48,000; -48,000;771,71616
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -48,000; -44,000; -46,000; -46,000;772,26443
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -47,000; -47,000; -44,000; -46,000; -46,000;772,743
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -47,000; -44,000; -46,000; -46,000;772,96205
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -48,000; -44,000; -46,000; -47,000;772,98831
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -48,000; -44,000; -47,000; -46,000;773,25094
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -47,000; -47,000; -44,000; -46,000; -47,000;773,46688
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -47,000; -47,000; -44,000; -47,000; -48,000;773,51061
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -47,000; -44,000; -48,000; -47,000;773,65895
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -47,000; -44,000; -46,000; -47,000;773,68593
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -48,000; -48,000; -44,000; -46,000; -48,000;773,71219
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -47,000; -47,000; -44,000; -47,000; -46,000;773,72951
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -47,000; -48,000; -44,000; -47,000; -47,000;773,75577
-44,000; -33,000; -52,000; -48,000; -78,000; -57,000; -86,000; -47,000; -48,000; -44,000; -48,000; -48,000;773,79949
