Gen1;Gen2;Gen3;Wert
8,201; 8,201; 8,201;0
8,162; 8,162; 8,162;0
7,849; 7,849; 7,849;0
8,514; 8,514; 8,514;0
8,475; 8,475; 8,475;0
8,162; 8,182; 8,162;0,0782
8,201; 8,182; 8,201;0,0782
7,849; 7,869; 7,849;0,0782
8,475; 8,495; 8,475;0,0782
8,162; 8,143; 8,162;0,0782
7,849; 7,830; 7,849;0,0782
8,201; 8,221; 8,201;0,0782
8,475; 8,514; 8,514;0,1173
8,162; 8,201; 8,201;0,1173
7,849; 7,889; 7,889;0,1173
8,201; 8,240; 8,240;0,1173
8,475; 8,436; 8,436;0,1173
8,162; 8,162; 8,201;0,1173
8,201; 8,182; 8,162;0,1173
8,201; 8,221; 8,240;0,1173
