Generation;Fitness
[1]; 7,26585
[2]; 4,60158
[3]; 0,97964
[4]; 0,64089
[5]; 0,37721
[6]; 0,37721
[7]; 0,17945
[8]; 0,17945
[9]; 0,12818
[10]; 0,1062
[11]; 0,10376
[12]; 0,04334
[13]; 0,03662
[14]; 0,02319
[15]; 0,01709
[16]; 0,01587
[17]; 0,01282
[18]; 0,00855
[19]; 0,00427
[20]; 0,00366
[21]; 0,00183
[22]; 0
[23]; 0
[24]; 0
[25]; 0
[26]; 0
[27]; 0
[28]; 0
[29]; 0
[30]; 0
[31]; 0
[32]; 0
[33]; 0
[34]; 0
[35]; 0
[36]; 0
[37]; 0
[38]; 0
[39]; 0
[40]; 0
[41]; 0
[42]; 0
[43]; 0
[44]; 0
[45]; 0
[46]; 0
[47]; 0
[48]; 0
[49]; 0
[50]; 0
[51]; 0
