Generation;Fitness
[1]; 9702,07507
[2]; 9608,20182
[3]; 8431,67914
[4]; 8431,67914
[5]; 8243,84011
[6]; 7663,5056
[7]; 7172,63299
[8]; 7172,63299
[9]; 7172,63299
[10]; 7172,63299
[11]; 7172,63299
[12]; 7172,63299
[13]; 7172,63299
[14]; 7172,63299
[15]; 7172,63299
[16]; 7172,63299
[17]; 7172,63299
[18]; 7172,63299
[19]; 7172,63299
[20]; 7172,63299
[21]; 6581,2167
[22]; 6581,2167
[23]; 6581,2167
[24]; 6581,2167
[25]; 6581,2167
[26]; 6581,2167
[27]; 6581,2167
[28]; 6581,2167
[29]; 6581,2167
[30]; 6581,2167
[31]; 6581,2167
[32]; 6581,2167
[33]; 6581,2167
[34]; 6581,2167
[35]; 6581,2167
[36]; 6581,2167
[37]; 6581,2167
[38]; 6581,2167
[39]; 6581,2167
[40]; 6581,2167
[41]; 6581,2167
[42]; 6581,2167
[43]; 6581,2167
[44]; 6581,2167
[45]; 6581,2167
[46]; 6581,2167
[47]; 6581,2167
[48]; 6581,2167
[49]; 6581,2167
[50]; 6501,91359
[51]; 6501,91359
[52]; 6501,91359
[53]; 6501,91359
[54]; 6501,91359
[55]; 6501,91359
[56]; 6501,91359
[57]; 6501,91359
[58]; 6501,91359
[59]; 6501,91359
[60]; 6501,91359
[61]; 6501,91359
[62]; 6501,91359
[63]; 6501,91359
[64]; 6501,91359
[65]; 6501,91359
[66]; 6501,91359
[67]; 6501,91359
[68]; 6501,91359
[69]; 6501,91359
[70]; 6501,91359
[71]; 6501,91359
[72]; 6501,91359
[73]; 6501,91359
[74]; 6501,91359
[75]; 6501,91359
[76]; 6501,91359
[77]; 6501,91359
[78]; 6501,91359
[79]; 6501,91359
[80]; 6501,91359
[81]; 6501,91359
[82]; 6501,91359
[83]; 6501,91359
[84]; 6501,91359
[85]; 6489,49767
[86]; 6489,49767
[87]; 6489,49767
[88]; 6489,49767
[89]; 6489,49767
[90]; 6489,49767
[91]; 6489,49767
[92]; 6489,49767
[93]; 6489,49767
[94]; 6489,49767
[95]; 6489,49767
[96]; 6489,49767
[97]; 6489,49767
[98]; 6471,03671
[99]; 6471,03671
[100]; 5251,89099
[101]; 5251,89099
[102]; 5251,89099
[103]; 5251,89099
[104]; 5251,89099
[105]; 5251,89099
[106]; 5251,89099
[107]; 5251,89099
[108]; 5251,89099
[109]; 5251,89099
[110]; 5251,89099
[111]; 5251,89099
[112]; 5251,89099
[113]; 5251,89099
[114]; 5251,89099
[115]; 5251,89099
[116]; 5251,89099
[117]; 5251,89099
[118]; 5251,89099
[119]; 5251,89099
[120]; 5251,89099
[121]; 5251,89099
[122]; 5251,89099
[123]; 5251,89099
[124]; 5251,89099
[125]; 5251,89099
[126]; 5251,89099
[127]; 5251,89099
[128]; 5251,89099
[129]; 5251,89099
[130]; 5251,89099
[131]; 5251,89099
[132]; 5251,89099
[133]; 5251,89099
[134]; 5115,46142
[135]; 5115,46142
[136]; 5115,46142
[137]; 5115,46142
[138]; 5115,46142
[139]; 5115,46142
[140]; 5115,46142
[141]; 5115,46142
[142]; 5115,46142
[143]; 5115,46142
[144]; 5115,46142
[145]; 5115,46142
[146]; 5115,46142
[147]; 5115,46142
[148]; 5115,46142
[149]; 5115,46142
[150]; 5115,46142
[151]; 5115,46142
[152]; 5115,46142
[153]; 5115,46142
[154]; 5115,46142
[155]; 5115,46142
[156]; 5115,46142
[157]; 5115,46142
[158]; 5115,46142
[159]; 5115,46142
[160]; 5115,46142
[161]; 5115,46142
[162]; 5115,46142
[163]; 5115,46142
[164]; 5115,46142
[165]; 5115,46142
[166]; 5115,46142
[167]; 5115,46142
[168]; 5115,46142
[169]; 5115,46142
[170]; 5115,46142
[171]; 5115,46142
[172]; 5115,46142
[173]; 5115,46142
[174]; 5115,46142
[175]; 5115,46142
[176]; 5115,46142
[177]; 5115,46142
[178]; 5115,46142
[179]; 5115,46142
[180]; 5115,46142
[181]; 5115,46142
[182]; 5115,46142
[183]; 5115,46142
[184]; 5115,46142
[185]; 5115,46142
[186]; 5115,46142
[187]; 5115,46142
[188]; 5115,46142
[189]; 5115,46142
[190]; 5115,46142
[191]; 5115,46142
[192]; 5115,46142
[193]; 5115,46142
[194]; 5115,46142
[195]; 5115,46142
[196]; 5115,46142
[197]; 5115,46142
[198]; 5115,46142
[199]; 5115,46142
[200]; 5115,46142
[201]; 5115,46142
[202]; 5115,46142
[203]; 5115,46142
[204]; 5115,46142
[205]; 5115,46142
[206]; 5115,46142
[207]; 5115,46142
[208]; 5115,46142
[209]; 5115,46142
[210]; 5115,46142
[211]; 5115,46142
[212]; 5115,46142
[213]; 5115,46142
[214]; 5115,46142
[215]; 5115,46142
[216]; 5115,46142
[217]; 5115,46142
[218]; 5115,46142
[219]; 5115,46142
[220]; 5115,46142
[221]; 5115,46142
[222]; 5115,46142
[223]; 5115,46142
[224]; 5115,46142
[225]; 5115,46142
[226]; 5115,46142
[227]; 5115,46142
[228]; 5115,46142
[229]; 5115,46142
[230]; 5115,46142
[231]; 5115,46142
[232]; 5115,46142
[233]; 5115,46142
[234]; 5115,46142
[235]; 5115,46142
[236]; 5115,46142
