Generation;Fitness
[1]; 11141,70837
[2]; 9224,89769
[3]; 7497,54026
[4]; 4001,28882
[5]; 3974,01775
[6]; 3830,40613
[7]; 3242,18824
[8]; 3115,40014
[9]; 2775,00808
[10]; 2050,13203
[11]; 1661,36457
[12]; 1607,20087
[13]; 1426,43658
[14]; 1330,04545
[15]; 1308,31609
[16]; 1282,74553
[17]; 1263,51609
[18]; 1244,77193
[19]; 1230,2324
[20]; 1228,34495
[21]; 1219,81162
[22]; 1219,81162
[23]; 1219,81162
[24]; 1219,81162
[25]; 1219,81162
[26]; 1219,81162
[27]; 1219,81162
[28]; 1219,81162
[29]; 1219,81162
[30]; 1219,81162
[31]; 1219,81162
[32]; 1219,81162
[33]; 1219,81162
[34]; 1219,81162
[35]; 1219,81162
[36]; 1219,81162
[37]; 1219,81162
[38]; 1219,81162
[39]; 1219,81162
[40]; 1219,81162
[41]; 1219,81162
[42]; 1219,81162
[43]; 1219,81162
[44]; 1219,81162
[45]; 1219,81162
[46]; 1219,81162
[47]; 1219,81162
[48]; 1219,81162
[49]; 1219,81162
[50]; 1219,81162
[51]; 1219,81162
