Gen1;Gen2;Gen3;Wert
4,184; 4,190; 4,189;0,01709
4,184; 4,190; 4,189;0,0177
4,184; 4,190; 4,188;0,01831
4,184; 4,190; 4,189;0,01892
4,184; 4,190; 4,189;0,01953
4,184; 4,190; 4,187;0,01953
4,184; 4,190; 4,189;0,01953
4,183; 4,190; 4,189;0,02075
4,184; 4,190; 4,187;0,02075
4,184; 4,190; 4,188;0,02075
4,183; 4,190; 4,189;0,02136
4,183; 4,190; 4,188;0,02197
4,184; 4,190; 4,186;0,02197
4,183; 4,190; 4,189;0,02258
4,183; 4,190; 4,189;0,02319
4,183; 4,190; 4,187;0,02319
4,183; 4,190; 4,189;0,02319
4,183; 4,190; 4,188;0,0238
4,183; 4,190; 4,186;0,0238
4,182; 4,190; 4,189;0,02441
