Gen1;Gen2;Gen3;Wert
-3,118; -3,118; -3,118;0
-3,099; -3,099; -3,099;0
-1,867; -1,867; -1,867;0
-3,079; -3,079; -3,079;0
7,439; 7,439; 7,439;0
-9,570; -9,570; -9,570;0
-9,492; -9,492; -9,492;0
-5,308; -5,308; -5,308;0
7,283; 7,283; 7,283;0
-5,288; -5,288; -5,288;0
-8,280; -8,280; -8,280;0
-7,947; -7,947; -7,947;0
-5,269; -5,269; -5,269;0
-6,559; -6,559; -6,559;0
-5,894; -5,894; -5,894;0
-3,685; -3,685; -3,685;0
9,629; 9,629; 9,629;0
-7,967; -7,967; -7,967;0
4,624; 4,624; 4,624;0
3,157; 3,157; 3,157;0
