Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
126,552; 123,586; 127,082; 127,488; 126,770; 127,551; 127,176; 127,238; 127,176; 127,426; 127,238; 127,270;40,20766
126,552; 123,586; 127,082; 127,488; 127,082; 127,551; 127,176; 127,363; 127,176; 127,488; 126,989; 126,833;41,13949
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,207; 127,238; 127,176; 127,426; 127,363; 127,332;41,5441
126,552; 123,586; 127,082; 127,488; 126,770; 127,551; 127,176; 127,363; 127,176; 127,426; 127,051; 127,332;41,76046
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,238; 127,176; 127,488; 127,238; 127,332;42,13843
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,363; 127,176; 127,426; 127,238; 127,332;42,15176
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,363; 127,176; 127,488; 127,238; 127,332;42,5883
126,552; 123,586; 127,082; 127,488; 126,770; 127,551; 127,176; 127,363; 127,176; 127,426; 126,989; 126,833;42,68916
126,552; 123,586; 127,082; 127,488; 126,770; 127,551; 127,176; 127,363; 127,176; 127,426; 127,114; 126,770;42,70546
126,552; 123,586; 127,082; 127,488; 126,770; 127,551; 127,176; 127,363; 127,176; 127,426; 127,363; 126,770;42,80616
126,552; 123,586; 127,082; 127,488; 126,770; 127,551; 127,176; 127,363; 127,176; 127,488; 127,114; 126,833;42,84823
126,552; 123,586; 127,082; 127,488; 126,770; 127,551; 127,176; 127,363; 127,176; 127,488; 127,363; 126,833;42,94893
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,363; 127,176; 127,551; 127,238; 127,270;42,94951
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,238; 127,363; 127,176; 127,551; 127,176; 127,270;43,00239
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,363; 127,176; 127,551; 127,238; 127,332;43,06647
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,207; 127,238; 127,176; 127,426; 127,238; 126,770;43,36475
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,238; 127,176; 127,426; 127,114; 126,770;43,47675
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,238; 127,176; 127,488; 127,238; 126,833;43,57622
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,363; 127,176; 127,426; 127,176; 126,833;43,6112
126,552; 123,586; 127,082; 127,488; 126,583; 127,551; 127,176; 127,363; 127,176; 127,426; 127,238; 126,833;43,68321
