Gen1;Gen2;Gen3;Wert
5,464; 5,464; 5,464;0
5,621; 5,621; 5,621;0
5,582; 5,582; 5,582;0
5,503; 5,503; 5,503;0
5,425; 5,425; 5,425;0
5,386; 5,386; 5,386;0
5,445; 5,445; 5,445;0
5,367; 5,367; 5,367;0
5,562; 5,562; 5,562;0
5,601; 5,601; 5,601;0
5,406; 5,406; 5,406;0
5,484; 5,484; 5,484;0
-0,440; -0,420; -0,420;0,05865
5,601; 5,601; 5,582;0,05865
-0,440; -0,459; -0,459;0,05865
5,601; 5,601; 5,621;0,05865
-0,362; -0,381; -0,381;0,05865
5,445; 5,464; 5,464;0,05865
5,445; 5,445; 5,464;0,05865
5,445; 5,445; 5,425;0,05865
