Generation;Fitness
[1]; 17497,35607
[2]; 12607,22388
[3]; 9794,19004
[4]; 8257,97683
[5]; 6948,37876
[6]; 5882,94827
[7]; 4885,07919
[8]; 3962,66528
[9]; 3598,81923
[10]; 3296,46033
[11]; 3080,55667
[12]; 2961,16916
[13]; 2794,09173
[14]; 2581,18731
[15]; 2289,20274
[16]; 2079,82439
[17]; 1751,05156
[18]; 1109,51012
[19]; 999,61377
[20]; 930,61602
[21]; 856,51542
[22]; 813,13836
[23]; 770,28763
[24]; 714,88383
[25]; 676,94238
[26]; 629,80835
[27]; 584,25777
[28]; 537,65182
[29]; 501,61501
[30]; 467,96368
[31]; 390,23421
[32]; 364,78332
[33]; 338,67487
[34]; 305,25299
[35]; 294,68344
[36]; 283,57077
[37]; 273,17863
[38]; 263,20822
[39]; 253,94481
[40]; 244,87506
[41]; 238,17927
[42]; 233,82116
[43]; 229,17803
[44]; 218,9996
[45]; 212,4367
[46]; 210,92475
[47]; 209,2322
[48]; 207,43494
[49]; 204,89565
[50]; 201,86879
[51]; 198,62169
