Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
73,727; 52,028; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,644;1594,7544
73,727; 52,153; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,644;1594,81377
73,727; 52,028; 14,033; -14,502; 31,860; 43,724; 63,767; 97,610; 57,367; 79,627; 63,455; 61,644;1594,82101
73,727; 52,153; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,486; 61,644;1594,84888
73,727; 52,153; 14,033; -14,502; 31,860; 43,724; 63,767; 97,610; 57,367; 79,627; 63,455; 61,644;1594,88038
73,727; 52,153; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,582;1594,94639
73,727; 52,028; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,519;1595,01964
73,727; 52,153; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,519;1595,07901
73,727; 52,028; 14,033; -14,502; 31,860; 43,724; 63,767; 97,610; 57,367; 79,627; 63,455; 61,519;1595,08624
73,727; 52,153; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,486; 61,519;1595,11412
73,727; 52,153; 14,033; -14,502; 31,860; 43,724; 63,767; 97,610; 57,367; 79,627; 63,455; 61,519;1595,14561
73,727; 52,028; 14,033; -14,502; 31,860; 43,724; 63,767; 97,610; 57,367; 79,627; 63,455; 61,457;1595,21886
73,727; 52,153; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,486; 61,457;1595,24673
73,727; 54,151; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,644;1595,76367
73,727; 54,151; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,582;1595,89628
73,727; 52,153; 14,033; -14,627; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,644;1595,95049
73,727; 52,153; 14,033; -14,627; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,486; 61,644;1595,9856
73,727; 52,153; 14,033; -14,627; 31,860; 43,724; 63,767; 97,610; 57,367; 79,627; 63,455; 61,644;1596,0171
73,727; 52,028; 14,033; -14,627; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,582;1596,02374
73,727; 54,151; 14,033; -14,502; 31,860; 43,755; 63,767; 97,610; 57,367; 79,627; 63,455; 61,519;1596,0289
