Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
64,610; 64,423; 64,485; 63,330; 64,517; 64,360; 63,361; 63,923; 64,017; 63,174; 63,424; 63,455;28,33927
64,610; 64,423; 64,485; 63,361; 64,517; 64,329; 63,237; 64,173; 64,048; 63,361; 63,361; 63,518;28,43674
64,610; 64,423; 64,485; 63,361; 64,517; 64,329; 63,237; 64,423; 64,017; 63,424; 63,361; 63,455;29,34152
64,610; 64,423; 64,485; 63,361; 64,517; 64,360; 63,237; 64,423; 64,017; 63,361; 63,361; 63,549;29,63593
64,610; 64,423; 64,485; 63,361; 64,641; 64,329; 63,237; 64,423; 64,017; 63,424; 63,424; 63,455;30,02326
64,610; 64,423; 64,485; 63,361; 63,642; 64,329; 63,237; 64,423; 64,017; 63,361; 63,237; 63,580;30,10919
64,610; 64,423; 64,485; 63,361; 63,642; 64,329; 63,237; 64,423; 64,017; 63,361; 63,237; 63,705;30,30225
64,610; 64,173; 64,485; 63,361; 64,517; 64,360; 63,237; 64,423; 64,017; 63,361; 63,361; 63,518;30,31891
64,610; 64,423; 64,485; 63,361; 64,641; 64,360; 63,361; 64,360; 64,017; 63,174; 63,361; 63,455;30,65833
64,610; 64,423; 64,485; 63,361; 64,517; 64,329; 63,237; 64,173; 64,017; 63,112; 63,361; 63,767;30,71525
64,610; 64,423; 64,485; 63,361; 64,517; 64,329; 63,237; 64,173; 64,048; 63,112; 63,361; 63,767;30,74743
64,610; 64,423; 64,485; 63,361; 64,517; 64,329; 63,237; 64,423; 64,017; 63,174; 63,424; 63,455;30,82003
64,610; 64,423; 64,485; 63,361; 64,641; 64,360; 63,205; 64,423; 64,017; 63,361; 63,361; 63,455;30,88772
64,610; 64,423; 64,485; 63,361; 64,517; 64,360; 63,237; 64,423; 63,518; 63,112; 63,424; 63,486;30,8954
64,610; 64,423; 64,485; 63,361; 64,517; 64,329; 63,237; 64,423; 64,017; 63,174; 63,361; 63,455;30,9628
64,610; 64,423; 64,485; 63,361; 63,642; 64,329; 63,237; 64,423; 64,017; 63,174; 63,299; 63,705;31,07959
64,610; 64,423; 64,485; 63,361; 64,517; 64,360; 63,237; 64,423; 64,017; 63,174; 63,361; 63,549;31,09124
64,610; 64,423; 64,485; 63,361; 64,517; 64,360; 63,237; 64,423; 64,017; 63,174; 63,299; 63,518;31,23035
64,610; 64,423; 64,485; 63,361; 64,641; 64,360; 63,237; 64,423; 64,017; 63,424; 63,237; 63,455;31,28264
64,610; 64,423; 64,485; 63,361; 64,517; 64,329; 63,237; 64,423; 64,017; 63,174; 63,237; 63,455;31,31971
