Gen1;Gen2;Gen3;Wert
-1,007; -1,007; -1,007;0
-1,085; -1,085; -1,085;0
-1,241; -1,241; -1,241;0
-1,320; -1,320; -1,320;0
-1,163; -1,163; -1,163;0
-1,065; -1,065; -1,065;0
-0,987; -0,987; -0,987;0
-1,046; -1,046; -1,046;0
-1,124; -1,124; -1,124;0
-2,258; -2,258; -2,258;0
-0,968; -0,968; -0,968;0
-1,026; -1,026; -1,026;0
-0,948; -0,948; -0,948;0
-1,222; -1,222; -1,222;0
-1,144; -1,144; -1,144;0
-1,202; -1,202; -1,202;0
-1,183; -1,183; -1,183;0
-0,948; -0,929; -0,929;0,05865
-1,065; -1,065; -1,046;0,05865
-0,948; -0,948; -0,968;0,05865
