Gen1;Gen2;Gen3;Wert
1,623; 1,623; 1,623;0
1,623; 1,623; 1,623;0
1,623; 1,623; 1,623;0,00183
1,623; 1,623; 1,623;0,00183
1,623; 1,623; 1,623;0,00183
1,623; 1,623; 1,623;0,00183
1,633; 1,632; 1,632;0,00183
1,623; 1,622; 1,623;0,00244
1,623; 1,623; 1,623;0,00244
1,623; 1,623; 1,623;0,00244
-6,255; -6,255; -6,254;0,00366
-6,255; -6,254; -6,254;0,00366
-6,255; -6,255; -6,256;0,00366
-6,255; -6,254; -6,254;0,00366
1,623; 1,622; 1,623;0,00427
1,623; 1,622; 1,623;0,00427
1,633; 1,632; 1,632;0,00427
1,623; 1,621; 1,623;0,00488
1,623; 1,622; 1,623;0,00488
1,623; 1,622; 1,621;0,00549
