Gen1;Gen2;Gen3;Wert
-2,219; -2,219; -2,219;0
-1,007; -1,007; -1,007;0
-0,733; -0,733; -0,733;0
-0,987; -0,987; -0,987;0
-2,239; -2,239; -2,239;0
-1,926; -1,926; -1,926;0
4,311; 4,311; 4,311;0
-2,199; -2,199; -2,199;0
2,297; 2,297; 2,297;0
8,534; 8,534; 8,534;0
-0,029; -0,029; -0,029;0
-1,124; -1,124; -1,124;0
7,752; 7,752; 7,752;0
-1,945; -1,945; -1,945;0
2,102; 2,102; 2,102;0
-0,557; -0,557; -0,557;0
-2,845; -2,845; -2,845;0
7,243; 7,243; 7,243;0
7,986; 7,986; 7,986;0
2,317; 2,317; 2,317;0
