Generation;Fitness
[1]; 2,23029
[2]; 0,69033
[3]; 0,69033
[4]; 0,23255
[5]; 0,23255
[6]; 0,23255
[7]; 0,13733
[8]; 0,04456
[9]; 0,01587
[10]; 0,0061
[11]; 0,0061
[12]; 0,0061
[13]; 0,0061
[14]; 0,0061
[15]; 0,00549
[16]; 0,00549
[17]; 0,00366
[18]; 0,00366
[19]; 0,00366
[20]; 0
[21]; 0
[22]; 0
[23]; 0
[24]; 0
[25]; 0
[26]; 0
[27]; 0
[28]; 0
[29]; 0
[30]; 0
[31]; 0
[32]; 0
[33]; 0
[34]; 0
[35]; 0
[36]; 0
[37]; 0
[38]; 0
[39]; 0
[40]; 0
[41]; 0
[42]; 0
[43]; 0
[44]; 0
[45]; 0
[46]; 0
[47]; 0
[48]; 0
[49]; 0
[50]; 0
[51]; 0
