Generation;Fitness
[1]; 33,08264
[2]; 9,16756
[3]; 4,57109
[4]; 2,04762
[5]; 1,11086
[6]; 0,57785
[7]; 0,35167
[8]; 0,22214
[9]; 0,16749
[10]; 0,13606
[11]; 0,10396
[12]; 0,06326
[13]; 0,03708
[14]; 0,02158
[15]; 0,01483
[16]; 0,01074
[17]; 0,00783
[18]; 0,00566
[19]; 0,00229
[20]; 0,00049
[21]; 0
[22]; 0
[23]; 0
[24]; 0
[25]; 0
[26]; 0
[27]; 0
[28]; 0
[29]; 0
[30]; 0
[31]; 0
[32]; 0
[33]; 0
[34]; 0
[35]; 0
[36]; 0
[37]; 0
[38]; 0
[39]; 0
[40]; 0
[41]; 0
[42]; 0
[43]; 0
[44]; 0
[45]; 0
[46]; 0
[47]; 0
[48]; 0
[49]; 0
[50]; 0
[51]; 0
