Gen1;Gen2;Gen3;Wert
7,204; 7,204; 7,204;0
6,891; 6,891; 6,891;0
7,224; 7,224; 7,224;0
6,911; 6,911; 6,911;0
-0,655; -0,655; -0,655;0
7,302; 7,302; 7,302;0
7,263; 7,263; 7,263;0
7,243; 7,243; 7,243;0
8,456; 8,456; 8,456;0
7,322; 7,322; 7,322;0
6,931; 6,931; 6,931;0
4,663; 4,663; 4,663;0
-5,327; -5,327; -5,327;0
6,168; 6,168; 6,168;0
3,666; 3,666; 3,666;0
7,283; 7,283; 7,283;0
7,341; 7,341; 7,341;0
-5,347; -5,347; -5,347;0
8,671; 8,671; 8,671;0
-5,738; -5,738; -5,738;0
