Generation;Fitness
[1]; 17145,98355
[2]; 13028,28475
[3]; 10594,06199
[4]; 8675,96835
[5]; 7445,62093
[6]; 6425,64387
[7]; 5744,17447
[8]; 5024,90937
[9]; 4353,81146
[10]; 3923,63427
[11]; 3448,95107
[12]; 2764,88907
[13]; 1989,65103
[14]; 1746,81839
[15]; 1564,10373
[16]; 1441,44065
[17]; 1296,39512
[18]; 1142,11375
[19]; 1027,29613
[20]; 914,34177
[21]; 781,94714
[22]; 675,24522
[23]; 601,02
[24]; 528,02632
[25]; 484,01134
[26]; 448,02111
[27]; 411,35268
[28]; 374,76291
[29]; 356,36465
[30]; 334,48551
[31]; 315,65155
[32]; 293,82108
[33]; 273,16972
[34]; 258,53625
[35]; 245,1949
[36]; 235,672
[37]; 226,1633
[38]; 216,89574
[39]; 208,93829
[40]; 200,86318
[41]; 193,59315
[42]; 184,99585
[43]; 177,47372
[44]; 171,76157
[45]; 166,03699
[46]; 160,13437
[47]; 154,91982
[48]; 152,14353
[49]; 147,73278
[50]; 144,38331
[51]; 142,42596
