Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
66,608; 61,894; 68,638; 61,832; 74,882; 78,940; 80,314; 79,971; 79,752; 81,001; 81,469; 80,377;290,45013
66,608; 61,894; 69,137; 61,832; 74,913; 78,940; 80,189; 79,971; 80,501; 81,001; 81,469; 81,563;291,42072
66,608; 61,894; 69,137; 61,832; 74,913; 78,940; 80,189; 79,971; 80,501; 81,001; 81,532; 81,563;291,66162
66,608; 61,894; 69,137; 61,863; 74,882; 78,940; 80,189; 79,971; 80,501; 81,001; 81,532; 81,688;292,16351
66,608; 61,894; 68,638; 61,863; 74,632; 78,940; 80,189; 79,971; 80,501; 81,001; 81,719; 81,563;292,34046
66,608; 61,894; 68,638; 61,863; 74,913; 78,940; 80,189; 79,971; 80,501; 81,001; 81,781; 81,500;292,41742
66,608; 61,894; 68,638; 61,832; 74,882; 78,940; 80,189; 79,971; 80,501; 81,126; 81,719; 81,563;292,70205
66,608; 61,894; 69,137; 61,832; 74,913; 78,940; 80,189; 79,971; 80,501; 81,001; 81,719; 81,563;293,0087
66,608; 61,894; 69,137; 61,832; 74,913; 78,940; 80,189; 79,971; 80,501; 81,126; 81,719; 81,563;293,34063
66,608; 61,894; 69,137; 61,832; 74,913; 78,940; 80,189; 79,971; 80,501; 81,126; 81,719; 81,625;293,468
66,608; 61,894; 69,137; 61,832; 74,913; 78,940; 80,189; 79,971; 80,501; 81,126; 81,781; 81,438;293,57656
66,608; 61,894; 69,137; 61,832; 74,913; 78,940; 80,314; 79,971; 79,502; 81,001; 81,532; 81,563;293,93209
66,608; 61,894; 69,137; 61,832; 74,913; 78,940; 80,189; 79,971; 80,501; 81,126; 81,719; 82,312;297,24175
66,608; 61,894; 68,638; 61,863; 74,882; 78,940; 80,189; 79,971; 83,499; 81,001; 81,469; 81,438;311,9673
66,608; 61,894; 68,638; 61,863; 74,632; 78,940; 80,189; 79,971; 83,499; 81,126; 81,469; 81,438;312,05423
66,608; 61,894; 68,638; 61,863; 74,882; 78,940; 80,189; 79,971; 83,499; 81,001; 81,469; 81,500;312,1363
66,608; 61,894; 68,638; 61,832; 74,913; 78,940; 80,189; 79,971; 83,499; 81,001; 81,469; 81,438;312,21967
66,608; 61,894; 68,638; 61,832; 74,882; 79,003; 80,189; 79,971; 83,499; 81,001; 81,469; 81,438;312,23067
66,608; 61,894; 68,638; 61,832; 74,882; 78,940; 80,189; 79,971; 83,499; 81,001; 81,469; 81,438;312,25148
66,608; 61,894; 68,638; 61,832; 74,882; 78,940; 80,314; 79,971; 83,499; 81,001; 79,596; 80,377;312,27767
