Generation;Fitness
[1]; 17145,98355
[2]; 12775,21926
[3]; 10379,54121
[4]; 8619,14876
[5]; 7271,93989
[6]; 6134,15825
[7]; 5097,23164
[8]; 4008,47753
[9]; 3379,81579
[10]; 2893,04076
[11]; 2489,71464
[12]; 2169,82798
[13]; 1978,61253
[14]; 1822,18083
[15]; 1655,68814
[16]; 1519,0429
[17]; 1397,65623
[18]; 1282,83663
[19]; 1134,20052
[20]; 1020,99929
[21]; 945,53723
[22]; 878,81951
[23]; 814,58129
[24]; 763,46186
[25]; 712,84255
[26]; 677,14286
[27]; 640,15542
[28]; 590,41945
[29]; 518,25544
[30]; 439,22414
[31]; 389,83868
[32]; 352,29993
[33]; 318,41873
[34]; 298,06314
[35]; 258,81992
[36]; 205,93778
[37]; 187,11857
[38]; 166,49539
[39]; 160,06977
[40]; 155,66257
[41]; 146,23177
[42]; 132,59429
[43]; 123,64148
[44]; 116,16028
[45]; 106,60763
[46]; 99,5406
[47]; 93,38112
[48]; 81,78464
[49]; 62,22199
[50]; 57,07318
[51]; 49,17174
