Generation;Fitness
[1]; 34,25943
[2]; 10,81505
[3]; 4,77048
[4]; 2,33803
[5]; 1,13294
[6]; 0,57322
[7]; 0,3349
[8]; 0,19824
[9]; 0,12649
[10]; 0,08876
[11]; 0,07488
[12]; 0,05806
[13]; 0,04907
[14]; 0,04184
[15]; 0,03754
[16]; 0,0346
[17]; 0,03167
[18]; 0,02874
[19]; 0,02581
[20]; 0,02287
[21]; 0,01994
[22]; 0,01642
[23]; 0,0129
[24]; 0,00938
[25]; 0,00528
[26]; 0
[27]; 0
[28]; 0
[29]; 0
[30]; 0
[31]; 0
[32]; 0
[33]; 0
[34]; 0
[35]; 0
[36]; 0
[37]; 0
[38]; 0
[39]; 0
[40]; 0
[41]; 0
[42]; 0
[43]; 0
[44]; 0
[45]; 0
[46]; 0
[47]; 0
[48]; 0
[49]; 0
[50]; 0
[51]; 0
