Generation;Fitness
[1]; 11141,70837
[2]; 10593,86378
[3]; 8972,85455
[4]; 7282,42107
[5]; 5899,9684
[6]; 5851,10519
[7]; 4972,99105
[8]; 4665,82381
[9]; 3500,73175
[10]; 3500,73175
[11]; 2607,39776
[12]; 2593,04841
[13]; 2529,62778
[14]; 1923,25505
[15]; 1699,59156
[16]; 1451,94235
[17]; 1186,8241
[18]; 1070,53283
[19]; 770,65743
[20]; 770,65743
[21]; 670,95981
[22]; 650,50743
[23]; 634,30267
[24]; 620,09791
[25]; 508,09957
[26]; 435,28528
[27]; 429,56861
[28]; 404,18391
[29]; 341,07208
[30]; 311,20541
[31]; 247,9943
[32]; 245,95455
[33]; 219,07843
[34]; 212,25772
[35]; 159,77677
[36]; 149,14502
[37]; 146,46089
[38]; 146,46089
[39]; 143,77193
[40]; 143,77193
[41]; 129,04264
[42]; 118,01162
[43]; 114,35296
[44]; 109,64264
[45]; 77,15296
[46]; 77,15296
[47]; 60,76299
[48]; 52,99394
[49]; 46,95418
[50]; 46,95418
