Generation;Fitness
[1]; 11141,70837
[2]; 10104,50325
[3]; 8803,27323
[4]; 6360,24567
[5]; 5351,45909
[6]; 4281,68672
[7]; 3502,72251
[8]; 2982,81674
[9]; 2157,64459
[10]; 2092,97605
[11]; 1774,20418
[12]; 1584,28983
[13]; 1428,71919
[14]; 1043,50253
[15]; 904,47172
[16]; 712,94776
[17]; 707,27633
[18]; 699,47395
[19]; 655,40967
[20]; 655,40967
[21]; 628,69538
[22]; 621,20491
[23]; 607,28434
[24]; 597,15101
[25]; 584,01833
[26]; 573,20815
[27]; 554,23124
[28]; 547,57403
[29]; 536,65815
[30]; 522,76046
[31]; 506,82302
[32]; 506,82302
[33]; 506,82302
[34]; 472,2127
[35]; 455,52698
[36]; 433,35317
[37]; 427,43261
[38]; 407,74683
[39]; 399,88889
[40]; 383,47937
[41]; 379,28889
[42]; 374,37302
[43]; 374,34206
[44]; 370,06905
[45]; 370,06905
[46]; 370,06905
[47]; 370,06905
[48]; 370,06905
[49]; 370,06905
[50]; 368,16587
[51]; 363,46349
