Generation;Fitness
[1]; 17438,82161
[2]; 13235,17093
[3]; 10523,51659
[4]; 8926,10822
[5]; 7593,89832
[6]; 6311,23027
[7]; 5360,94444
[8]; 4499,87378
[9]; 3660,30219
[10]; 2981,39533
[11]; 2535,47189
[12]; 2152,21489
[13]; 1875,03395
[14]; 1555,00954
[15]; 1280,97085
[16]; 1009,11233
[17]; 773,95662
[18]; 625,01447
[19]; 538,36999
[20]; 467,68635
[21]; 418,40191
[22]; 384,44838
[23]; 354,5736
[24]; 316,61507
[25]; 280,27608
[26]; 239,29671
[27]; 190,21475
[28]; 174,41041
[29]; 165,18898
[30]; 157,77313
[31]; 152,3247
[32]; 148,71966
[33]; 142,79584
[34]; 135,38243
[35]; 126,42986
[36]; 112,68191
[37]; 104,64543
[38]; 102,47774
[39]; 101,25685
[40]; 98,85272
[41]; 91,45521
[42]; 80,77941
[43]; 79,05857
[44]; 76,49211
[45]; 71,87751
[46]; 64,4119
[47]; 60,92411
[48]; 57,39885
[49]; 55,76245
[50]; 55,57132
[51]; 55,1753
