Generation;Fitness
[1]; 9702,07507
[2]; 8057,99061
[3]; 6773,73315
[4]; 6439,7434
[5]; 5940,56838
[6]; 4108,26512
[7]; 3732,04185
[8]; 2692,36038
[9]; 2330,6075
[10]; 2300,34112
[11]; 1897,81008
[12]; 1607,09182
[13]; 1368,59054
[14]; 1368,59054
[15]; 1168,10695
[16]; 1152,01166
[17]; 997,36245
[18]; 879,55876
[19]; 748,92786
[20]; 664,3805
[21]; 605,09357
[22]; 531,29938
[23]; 474,97786
[24]; 441,25621
[25]; 438,83772
[26]; 382,23485
[27]; 348,48963
[28]; 333,36178
[29]; 301,23451
[30]; 286,42543
[31]; 275,43993
[32]; 227,62179
[33]; 227,62179
[34]; 227,62179
[35]; 224,64439
[36]; 208,54224
[37]; 208,40405
[38]; 186,51258
[39]; 186,51258
[40]; 184,20018
[41]; 171,32484
[42]; 167,2769
[43]; 156,88824
[44]; 147,90797
[45]; 147,90797
[46]; 143,0251
[47]; 140,71138
[48]; 140,52355
[49]; 138,46437
[50]; 138,46437
