Generation;Fitness
[1]; 32,93866
[2]; 13,00312
[3]; 6,93057
[4]; 4,01808
[5]; 2,62967
[6]; 1,3875
[7]; 0,93165
[8]; 0,53874
[9]; 0,2999
[10]; 0,18693
[11]; 0,15049
[12]; 0,13042
[13]; 0,11534
[14]; 0,10137
[15]; 0,06178
[16]; 0,03121
[17]; 0,02206
[18]; 0,01763
[19]; 0,01709
[20]; 0,01709
[21]; 0,01709
[22]; 0,01709
[23]; 0,01709
[24]; 0,01709
[25]; 0,01709
[26]; 0,01709
[27]; 0,01709
[28]; 0,01709
[29]; 0,01709
[30]; 0,01709
[31]; 0,01709
[32]; 0,01709
[33]; 0,01709
[34]; 0,01709
[35]; 0,01709
[36]; 0,01709
[37]; 0,01709
[38]; 0,01709
[39]; 0,01709
[40]; 0,01709
[41]; 0,01709
[42]; 0,01709
[43]; 0,01709
[44]; 0,01709
[45]; 0,01709
[46]; 0,01709
[47]; 0,01709
[48]; 0,01709
[49]; 0,01709
[50]; 0,01709
[51]; 0,01709
