Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,553; -1,546; 21,588; 19,153; 11,348; 13,815;1802,48051
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,553; -1,546; 21,588; 19,403; 11,348; 13,815;1802,48269
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,585; -1,546; 21,588; 19,153; 11,348; 13,815;1802,51173
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,585; -1,546; 21,588; 19,216; 11,348; 13,815;1802,51227
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,585; -1,546; 21,588; 19,403; 11,348; 13,815;1802,51391
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,585; -1,546; 21,588; 19,465; 11,348; 13,815;1802,51445
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,553; -1,546; 21,588; 19,403; 11,348; 13,752;1802,51639
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,585; -1,546; 21,588; 19,153; 11,348; 13,752;1802,54543
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,585; -1,546; 21,588; 19,216; 11,348; 13,752;1802,54598
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,585; -1,546; 21,588; 19,403; 11,348; 13,752;1802,54761
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,585; -1,546; 21,588; 19,465; 11,348; 13,752;1802,54816
142,974; 63,518; 96,080; -0,547; 39,603; 31,954; 25,585; -1,546; 21,588; 19,153; 11,348; 13,815;1802,58458
142,974; 63,518; 96,080; -0,547; 39,603; 31,954; 25,585; -1,546; 21,588; 19,403; 11,348; 13,815;1802,58676
142,974; 63,518; 96,080; -0,547; 39,603; 31,954; 25,553; -1,546; 21,588; 19,153; 11,348; 13,752;1802,58706
142,974; 63,518; 96,080; -0,547; 39,603; 31,954; 25,585; -1,546; 21,588; 19,465; 11,348; 13,815;1802,5873
142,974; 63,518; 96,080; -0,547; 39,603; 31,954; 25,553; -1,546; 21,588; 19,216; 11,348; 13,752;1802,5876
142,974; 63,518; 96,080; -0,547; 39,603; 31,954; 25,553; -1,546; 21,588; 19,403; 11,348; 13,752;1802,58924
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,678; -1,546; 21,588; 19,153; 11,348; 13,815;1802,60539
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,678; -1,546; 21,588; 19,216; 11,348; 13,815;1802,60594
142,974; 63,518; 96,080; -0,547; 39,603; 31,922; 25,678; -1,546; 21,588; 19,403; 11,348; 13,815;1802,60757
