Generation;Fitness
[1]; 9702,07507
[2]; 8158,69418
[3]; 7287,59046
[4]; 5961,86386
[5]; 5255,61684
[6]; 3700,05818
[7]; 2949,96127
[8]; 2846,53793
[9]; 2411,28176
[10]; 2069,41215
[11]; 1905,40372
[12]; 1834,19327
[13]; 1702,17158
[14]; 1575,49654
[15]; 1374,73773
[16]; 1319,16667
[17]; 1159,4288
[18]; 1081,34932
[19]; 948,33718
[20]; 901,14956
[21]; 818,83266
[22]; 773,52805
[23]; 716,61302
[24]; 673,42228
[25]; 604,36929
[26]; 536,41274
[27]; 470,92235
[28]; 417,66098
[29]; 401,51642
[30]; 348,11454
[31]; 316,87486
[32]; 304,47326
[33]; 235,91734
[34]; 212,82381
[35]; 178,93024
[36]; 164,94414
[37]; 164,94414
[38]; 157,8459
[39]; 139,30116
[40]; 131,43504
[41]; 125,68389
[42]; 119,83057
[43]; 107,45251
[44]; 104,19127
[45]; 94,62513
[46]; 80,04362
[47]; 62,34495
[48]; 58,56934
[49]; 46,67502
[50]; 42,94951
[51]; 40,20766
