Generation;Fitness
[1]; 34,25943
[2]; 12,3843
[3]; 6,36941
[4]; 3,44126
[5]; 1,88682
[6]; 1,34897
[7]; 0,97992
[8]; 0,69304
[9]; 0,55203
[10]; 0,39258
[11]; 0,29046
[12]; 0,2326
[13]; 0,19937
[14]; 0,17282
[15]; 0,13725
[16]; 0,12297
[17]; 0,11085
[18]; 0,08709
[19]; 0,1014
[20]; 0,0764
[21]; 0,08577
[22]; 0,08387
[23]; 0,07858
[24]; 0,07438
[25]; 0,08183
[26]; 0,07155
[27]; 0,07611
[28]; 0,06976
[29]; 0,07311
[30]; 0,07731
[31]; 0,06678
[32]; 0,06418
[33]; 0,06738
[34]; 0,06567
[35]; 0,05971
[36]; 0,05636
[37]; 0,05568
[38]; 0,06725
[39]; 0,05349
[40]; 0,06876
[41]; 0,05366
[42]; 0,05902
[43]; 0,05381
[44]; 0,05312
[45]; 0,05433
[46]; 0,05478
[47]; 0,08334
[48]; 0,0558
[49]; 0,0648
[50]; 0,07486
[51]; 0,05506
