Generation;Fitness
[1]; 9702,07507
[2]; 9608,20182
[3]; 8431,67914
[4]; 8445,20776
[5]; 8243,84011
[6]; 7663,5056
[7]; 7172,63299
[8]; 7366,94984
[9]; 9439,84067
[10]; 8025,7487
[11]; 9194,0451
[12]; 8558,9776
[13]; 7734,15769
[14]; 9413,48839
[15]; 9337,58206
[16]; 8889,9334
[17]; 8516,39568
[18]; 8330,01932
[19]; 8349,37007
[20]; 7460,59577
[21]; 6581,2167
[22]; 8092,46477
[23]; 8637,69149
[24]; 8851,86061
[25]; 9677,02905
[26]; 10157,73383
[27]; 8771,10143
[28]; 8833,70941
[29]; 8201,04447
[30]; 8931,66902
[31]; 8760,63372
[32]; 7557,82803
[33]; 6868,32277
[34]; 7423,25084
[35]; 8229,69791
[36]; 8119,1234
[37]; 8771,96025
[38]; 8569,30187
[39]; 7271,47059
[40]; 7627,79099
[41]; 7362,17526
[42]; 7042,74823
[43]; 8717,32465
[44]; 10056,60158
[45]; 8991,69463
[46]; 8825,26777
[47]; 8410,33951
[48]; 6940,53829
[49]; 7974,15008
[50]; 6501,91359
[51]; 8157,50786
[52]; 8682,56447
[53]; 8551,4024
[54]; 8601,65646
[55]; 8862,02497
[56]; 8461,82728
[57]; 7834,31145
[58]; 8140,54854
[59]; 9068,76315
[60]; 9486,13707
[61]; 9433,0364
[62]; 8095,68036
[63]; 6969,55337
[64]; 8249,76014
[65]; 6872,97701
[66]; 8445,89968
[67]; 9056,44089
[68]; 8287,01596
[69]; 8376,84221
[70]; 8582,62596
[71]; 9270,97143
[72]; 7785,45445
[73]; 7529,37413
[74]; 8380,07358
[75]; 7282,60562
[76]; 9095,06889
[77]; 7775,74559
[78]; 8931,21742
[79]; 9291,29267
[80]; 8817,55302
[81]; 8907,19975
[82]; 8585,31887
[83]; 8380,60553
[84]; 8184,61688
[85]; 6489,49767
[86]; 7937,20335
[87]; 8455,90243
[88]; 7479,36503
[89]; 8617,56226
[90]; 8382,66849
[91]; 8439,32866
[92]; 7240,86897
[93]; 7027,20898
[94]; 9190,06574
[95]; 8829,87575
[96]; 7909,92868
[97]; 7705,2784
[98]; 6471,03671
[99]; 7511,74625
[100]; 5251,89099
[101]; 6302,09747
[102]; 8101,60937
[103]; 8119,39647
[104]; 8554,09097
[105]; 9549,77091
[106]; 8943,96422
[107]; 8754,98789
[108]; 7357,30569
[109]; 8113,82826
[110]; 8241,80181
[111]; 7403,55937
[112]; 7227,37821
[113]; 8114,16134
[114]; 8127,73794
[115]; 8510,26574
[116]; 9039,5682
[117]; 8652,97751
[118]; 8667,44009
[119]; 7028,69601
[120]; 7618,41518
[121]; 7594,58923
[122]; 7765,98808
[123]; 6846,1429
[124]; 7881,15001
[125]; 8635,88847
[126]; 7530,46752
[127]; 8512,22309
[128]; 8005,46047
[129]; 9339,55155
[130]; 8251,35086
[131]; 5702,53729
[132]; 5927,40858
[133]; 8692,52733
[134]; 5115,46142
[135]; 8933,22617
[136]; 9001,11774
[137]; 8474,62234
[138]; 8575,91575
[139]; 9421,09168
[140]; 8465,56732
[141]; 9128,30394
[142]; 9064,20849
[143]; 9020,30447
[144]; 8742,77304
[145]; 8799,26859
[146]; 7964,07658
[147]; 8014,85699
[148]; 7927,13321
[149]; 8449,61384
[150]; 7021,99834
[151]; 8567,93022
[152]; 9310,06231
[153]; 8455,24063
[154]; 8898,50866
[155]; 9510,65492
[156]; 8884,92812
[157]; 6726,13367
[158]; 7973,23962
[159]; 8121,32468
[160]; 8774,46905
[161]; 8790,61734
[162]; 9160,19027
[163]; 9195,44069
[164]; 8223,38516
[165]; 9300,7
[166]; 7556,29217
[167]; 9918,73646
[168]; 9276,8583
[169]; 8506,0917
[170]; 9388,35186
[171]; 9265,21888
[172]; 9265,21888
[173]; 8455,73606
[174]; 9683,10885
[175]; 8800,48741
[176]; 10484,95151
[177]; 10395,42216
[178]; 7903,90374
[179]; 8662,32582
[180]; 9395,63668
[181]; 9051,1035
[182]; 8111,33984
[183]; 6703,63286
[184]; 9757,15924
[185]; 9001,07431
[186]; 9959,67518
[187]; 9134,65421
[188]; 7566,58976
[189]; 9595,57302
[190]; 10417,37176
[191]; 10080,8644
[192]; 9437,15634
[193]; 10084,42016
[194]; 9290,4358
[195]; 8805,00079
[196]; 9695,65064
[197]; 8995,34336
[198]; 7781,60551
[199]; 7957,92452
[200]; 9232,54341
[201]; 8154,50451
[202]; 7481,87631
[203]; 9878,801
[204]; 9512,45691
[205]; 8526,08368
[206]; 9813,27585
[207]; 7260,94162
[208]; 7369,57036
[209]; 8324,84344
[210]; 7594,72879
[211]; 8333,5674
[212]; 7969,77115
[213]; 8803,4417
[214]; 7818,31826
[215]; 7645,32335
[216]; 8637,26705
[217]; 7606,51466
[218]; 6929,53119
[219]; 8648,18787
[220]; 6975,59207
[221]; 8024,84944
[222]; 8026,19144
[223]; 7606,71808
[224]; 8123,81487
[225]; 7892,18431
[226]; 8241,81943
[227]; 7549,81444
[228]; 6181,86145
[229]; 6282,10687
[230]; 7341,98082
[231]; 7336,45424
[232]; 7291,84296
[233]; 7239,00717
[234]; 7427,57146
[235]; 5814,66904
[236]; 5901,34685
