Gen1;Gen2;Gen3;Wert
4,219; 4,219; 4,219;0,00183
4,220; 4,219; 4,219;0,00366
4,219; 4,218; 4,218;0,00366
4,219; 4,219; 4,218;0,00366
4,219; 4,218; 4,219;0,00427
4,219; 4,217; 4,217;0,00549
4,219; 4,218; 4,217;0,00549
4,219; 4,219; 4,217;0,00549
4,220; 4,219; 4,218;0,00549
4,220; 4,219; 4,219;0,00549
4,220; 4,218; 4,218;0,00549
4,220; 4,218; 4,219;0,0061
4,219; 4,217; 4,218;0,0061
4,219; 4,217; 4,219;0,00671
4,220; 4,219; 4,217;0,00732
4,220; 4,218; 4,217;0,00732
4,219; 4,218; 4,217;0,00732
4,220; 4,218; 4,218;0,00732
4,221; 4,219; 4,219;0,00732
4,220; 4,217; 4,217;0,00732
