Generation;Fitness
[1]; 17145,98355
[2]; 13248,40652
[3]; 10690,23968
[4]; 8849,0928
[5]; 7293,56278
[6]; 5758,12153
[7]; 4643,88428
[8]; 4013,04207
[9]; 3419,50271
[10]; 2830,96301
[11]; 2318,62556
[12]; 1950,71972
[13]; 1735,3227
[14]; 1476,42963
[15]; 1178,38674
[16]; 960,5769
[17]; 855,19526
[18]; 751,95735
[19]; 662,77234
[20]; 554,0879
[21]; 467,30679
[22]; 412,91972
[23]; 382,89986
[24]; 353,82864
[25]; 324,60394
[26]; 292,89942
[27]; 271,34606
[28]; 248,7247
[29]; 230,92747
[30]; 218,20569
[31]; 205,12576
[32]; 194,83859
[33]; 187,17904
[34]; 180,86479
[35]; 173,51192
[36]; 166,39775
[37]; 158,09176
[38]; 150,26446
[39]; 142,42855
[40]; 131,70856
[41]; 123,67914
[42]; 117,67328
[43]; 112,73088
[44]; 107,09245
[45]; 103,03511
[46]; 98,44858
[47]; 93,45444
[48]; 90,07247
[49]; 84,91378
[50]; 81,39358
[51]; 78,78277
