Generation;Fitness
[1]; 10299,7757
[2]; 10453,76444
[3]; 7098,9214
[4]; 5943,58029
[5]; 5285,77414
[6]; 3547,77281
[7]; 3371,15926
[8]; 3102,21039
[9]; 2581,42505
[10]; 2332,19822
[11]; 2129,2762
[12]; 2031,26128
[13]; 2020,62135
[14]; 1961,54441
[15]; 1908,25925
[16]; 1884,18779
[17]; 1867,62215
[18]; 1855,41761
[19]; 1851,42013
[20]; 1848,77437
[21]; 1839,03211
[22]; 1831,7241
[23]; 1804,568
[24]; 1804,38159
[25]; 1804,37941
[26]; 1803,08366
[27]; 1802,67304
[28]; 1802,61828
[29]; 1802,58458
[30]; 1802,51173
[31]; 1802,51173
[32]; 1802,48269
[33]; 1802,48051
[34]; 1802,48051
[35]; 1802,48051
[36]; 1802,48051
[37]; 1802,48051
[38]; 1802,48051
[39]; 1802,48051
[40]; 1802,48051
[41]; 1802,48051
[42]; 1802,48051
[43]; 1802,48051
[44]; 1802,48051
[45]; 1802,48051
[46]; 1802,48051
[47]; 1802,48051
[48]; 1802,48051
[49]; 1802,48051
[50]; 1802,48051
[51]; 1802,48051
