Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -119,000; -119,000; -119,000;642,92424
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -118,000; -118,000; -118,000; -118,000;644,35685
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -119,000; -119,000; -118,000;646,64812
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -118,000; -118,000; -118,000;647,05447
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -119,000; -119,000; -120,000;647,53369
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -118,000; -119,000; -119,000; -119,000;647,55996
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -118,000; -118,000; -118,000; -119,000;647,96631
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -119,000; -118,000; -119,000;648,04408
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -118,000; -119,000; -119,000;648,21075
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -118,000; -118,000; -119,000; -119,000;648,84646
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -118,000; -118,000; -118,000; -117,000;648,88074
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -118,000; -119,000; -118,000; -118,000;649,07035
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -119,000; -120,000; -119,000;649,13773
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -118,000; -118,000; -119,000; -118,000;649,23701
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -118,000; -118,000; -119,000;649,33059
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -120,000; -119,000; -119,000; -119,000;649,62186
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -120,000; -119,000; -119,000;649,63773
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -119,000; -120,000; -120,000;649,74719
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -120,000; -120,000; -120,000; -120,000;649,82496
-158,000; -136,000; -100,000; -96,000; -112,000; -121,000; -118,000; -119,000; -119,000; -120,000; -120,000; -120,000;650,46068
