Gen1;Gen2;Gen3;Wert
7,009; 7,009; 7,009;0
-2,160; -2,160; -2,160;0
7,028; 7,028; 7,028;0
6,970; 6,970; 6,970;0
-2,141; -2,141; -2,141;0
-6,989; -6,989; -6,989;0
-2,121; -2,121; -2,121;0
6,070; 6,070; 6,070;0
6,989; 6,989; 6,989;0
-2,180; -2,180; -2,180;0
-8,495; -8,495; -8,495;0
6,090; 6,090; 6,090;0
1,496; 1,496; 1,496;0
5,758; 5,758; 5,758;0
2,121; 2,121; 2,121;0
1,887; 1,887; 1,887;0
-4,624; -4,624; -4,624;0
-6,520; -6,520; -6,520;0
-7,028; -7,028; -7,028;0
-6,970; -6,970; -6,970;0
