Gen1;Gen2;Gen3;Wert
3,451; 3,451; 3,451;0
3,333; 3,333; 3,333;0
3,353; 3,353; 3,353;0
8,456; 8,456; 8,456;0
3,294; 3,294; 3,294;0
3,470; 3,470; 3,470;0
3,314; 3,314; 3,314;0
8,475; 8,475; 8,475;0
8,319; 8,319; 8,319;0
6,970; 6,970; 6,950;0,05865
8,475; 8,495; 8,495;0,05865
3,451; 3,431; 3,431;0,05865
3,333; 3,353; 3,353;0,05865
3,451; 3,451; 3,431;0,05865
8,456; 8,456; 8,436;0,05865
3,294; 3,275; 3,275;0,05865
3,333; 3,333; 3,314;0,05865
3,451; 3,451; 3,470;0,05865
3,333; 3,333; 3,353;0,05865
3,333; 3,314; 3,314;0,05865
