Generation;Fitness
[1]; 17438,82161
[2]; 12583,13009
[3]; 10274,35084
[4]; 7773,67218
[5]; 6143,88117
[6]; 5041,17926
[7]; 4438,26823
[8]; 3778,27715
[9]; 3190,82207
[10]; 2537,05527
[11]; 2073,53654
[12]; 1602,1277
[13]; 1416,87441
[14]; 1250,53127
[15]; 1093,56349
[16]; 933,27213
[17]; 763,48305
[18]; 607,7497
[19]; 522,38731
[20]; 449,9685
[21]; 377,66364
[22]; 336,22242
[23]; 283,73341
[24]; 253,16323
[25]; 232,35376
[26]; 210,37115
[27]; 192,11732
[28]; 180,73052
[29]; 165,89263
[30]; 153,55038
[31]; 138,8895
[32]; 122,37656
[33]; 107,65566
[34]; 91,00911
[35]; 78,88514
[36]; 69,83302
[37]; 63,5209
[38]; 56,62965
[39]; 49,87385
[40]; 44,60084
[41]; 39,89806
[42]; 36,77006
[43]; 33,70451
[44]; 31,72723
[45]; 29,99135
[46]; 28,73537
[47]; 28,09958
[48]; 27,57047
[49]; 27,04951
[50]; 26,57783
[51]; 26,18651
