Generation;Fitness
[1]; 17497,35607
[2]; 12855,76644
[3]; 10231,47739
[4]; 8314,27039
[5]; 6398,74217
[6]; 4594,87495
[7]; 3511,20723
[8]; 2901,03928
[9]; 2478,6161
[10]; 2202,25019
[11]; 2017,64065
[12]; 1879,39774
[13]; 1771,06356
[14]; 1689,74822
[15]; 1642,01105
[16]; 1621,69129
[17]; 1612,01233
[18]; 1605,61644
[19]; 1598,72023
[20]; 1596,85013
[21]; 1596,20181
[22]; 1595,97337
[23]; 1595,51893
[24]; 1594,81079
[25]; 1594,77578
[26]; 1594,7544
[27]; 1594,7544
[28]; 1594,7544
[29]; 1594,7544
[30]; 1594,7544
[31]; 1594,7544
[32]; 1594,7544
[33]; 1594,7544
[34]; 1594,7544
[35]; 1594,7544
[36]; 1594,7544
[37]; 1594,7544
[38]; 1594,7544
[39]; 1594,7544
[40]; 1594,7544
[41]; 1594,7544
[42]; 1594,7544
[43]; 1594,7544
[44]; 1594,7544
[45]; 1594,7544
[46]; 1594,7544
[47]; 1594,7544
[48]; 1594,7544
[49]; 1594,7544
[50]; 1594,7544
[51]; 1594,7544
