Gen1;Gen2;Gen3;Wert
-6,176; -6,176; -6,176;0
-6,183; -6,183; -6,183;0
-6,175; -6,175; -6,175;0
-6,177; -6,177; -6,177;0
-6,174; -6,174; -6,174;0
-6,178; -6,178; -6,178;0
-6,186; -6,186; -6,186;0
-6,185; -6,185; -6,185;0
-6,175; -6,175; -6,175;0
7,624; 7,624; 7,624;0
-6,186; -6,186; -6,186;0
-6,177; -6,177; -6,177;0
-6,173; -6,173; -6,173;0
4,703; 4,703; 4,703;0
-6,178; -6,178; -6,178;0
4,703; 4,703; 4,703;0
-0,297; -0,297; -0,297;0
-2,797; -2,797; -2,797;0
7,203; 7,203; 7,203;0
-6,174; -6,174; -6,174;0
