Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -95,000; -97,000; -97,000; -97,000; -97,000;809,34639
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -96,000; -97,000; -97,000; -97,000; -97,000;809,56544
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -97,000; -97,000; -97,000; -97,000; -97,000;809,78449
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -95,000; -97,000; -96,000; -97,000; -97,000;811,25988
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -96,000; -97,000; -96,000; -97,000; -97,000;811,47893
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -95,000; -97,000; -95,000; -97,000; -97,000;813,17338
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -93,000; -95,000; -97,000; -97,000; -97,000; -97,000;813,34639
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -93,000; -96,000; -97,000; -97,000; -97,000; -97,000;813,56544
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -97,000; -97,000; -96,000; -97,000; -97,000;813,69798
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -93,000; -95,000; -97,000; -96,000; -97,000; -97,000;815,25988
-37,000; -20,000; -100,000; -94,000; -92,000; -91,000; -94,000; -95,000; -97,000; -97,000; -97,000; -97,000;815,38449
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -96,000; -97,000; -95,000; -97,000; -97,000;815,39242
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -93,000; -96,000; -97,000; -96,000; -97,000; -97,000;815,47893
-37,000; -20,000; -100,000; -94,000; -96,000; -91,000; -94,000; -96,000; -97,000; -97,000; -97,000; -97,000;815,52734
-37,000; -20,000; -100,000; -94,000; -92,000; -91,000; -94,000; -96,000; -97,000; -97,000; -97,000; -97,000;815,60354
-37,000; -20,000; -100,000; -94,000; -96,000; -91,000; -94,000; -97,000; -97,000; -97,000; -97,000; -97,000;815,74639
-37,000; -20,000; -100,000; -94,000; -92,000; -91,000; -94,000; -97,000; -97,000; -97,000; -97,000; -97,000;815,82258
-37,000; -20,000; -100,000; -94,000; -96,000; -91,000; -94,000; -95,000; -97,000; -97,000; -97,000; -97,000;816,64163
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -94,000; -95,000; -97,000; -94,000; -97,000; -97,000;817,08687
-37,000; -20,000; -100,000; -94,000; -94,000; -91,000; -93,000; -95,000; -97,000; -95,000; -97,000; -97,000;817,17338
